fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
1,2,1.50,5.0,1.1
1,3,0.80,3.0,1.0
1,4,0.40,2.0,1.0
2,5,1.20,4.0,1.3
2,7,0.90,3.0,1.2
3,6,1.00,4.0,1.1
4,5,0.30,2.0,1.0
5,6,0.70,3.0,1.0
7,8,0.50,2.0,1.2
8,9,0.60,3.0,1.4
9,10,0.40,2.0,1.1
10,2,1.00,4.0,1.3
1,42,0.10,2.0,1.0
1,53,0.10,2.0,1.0
1,5,0.11,2.2,1.0
2,16,0.27,5.4,1.0
2,17,0.37,7.4,1.0
2,14,0.39,7.8,1.0
3,32,0.35,7.0,1.0
3,58,0.40,8.0,1.0
3,4,0.44,8.8,1.0
4,32,0.19,3.8,1.0
4,57,0.23,4.6,1.0
4,46,0.24,4.8,1.0
5,42,0.11,2.2,1.0
5,8,0.12,2.4,1.0
6,29,0.15,3.0,1.0
6,38,0.15,3.0,1.0
6,31,0.18,3.6,1.0
7,22,0.10,2.0,1.0
7,36,0.21,4.2,1.0
7,52,0.29,5.8,1.0
8,1,0.21,4.2,1.0
8,42,0.21,4.2,1.0
9,20,0.14,2.8,1.0
9,30,0.22,4.4,1.0
9,7,0.33,6.6,1.0
10,41,0.12,2.4,1.0
10,50,0.12,2.4,1.0
10,45,0.15,3.0,1.0
11,21,1.05,21.0,1.0
11,49,1.14,22.8,1.0
11,12,1.21,24.2,1.0
12,61,0.31,6.2,1.0
12,39,0.32,6.4,1.0
12,27,0.39,7.8,1.0
13,46,0.10,2.0,1.0
13,57,0.19,3.8,1.0
13,8,0.23,4.6,1.0
14,15,0.10,2.0,1.0
14,17,0.10,2.0,1.0
14,48,0.10,2.0,1.0
15,17,0.10,2.0,1.0
15,48,0.10,2.0,1.0
16,14,0.12,2.4,1.0
16,17,0.13,2.6,1.0
16,15,0.18,3.6,1.0
18,40,0.14,2.8,1.0
18,2,0.43,8.6,1.0
18,26,0.68,13.6,1.0
19,60,10.04,200.8,1.0
19,28,10.14,202.8,1.0
19,30,10.22,204.4,1.0
20,47,0.26,5.2,1.0
20,7,0.30,6.0,1.0
21,49,0.11,2.2,1.0
21,44,0.45,9.0,1.0
21,25,0.54,10.8,1.0
22,36,0.18,3.6,1.0
22,52,0.26,5.2,1.0
23,26,0.38,7.6,1.0
23,18,1.01,20.2,1.0
23,2,1.09,21.8,1.0
24,51,0.10,2.0,1.0
24,41,0.11,2.2,1.0
24,56,0.11,2.2,1.0
25,6,0.19,3.8,1.0
25,38,0.20,4.0,1.0
25,31,0.22,4.4,1.0
26,2,0.71,14.2,1.0
27,61,0.11,2.2,1.0
27,37,0.17,3.4,1.0
27,39,0.24,4.8,1.0
28,30,0.12,2.4,1.0
28,9,0.34,6.8,1.0
28,20,0.46,9.2,1.0
29,53,0.24,4.8,1.0
29,1,0.25,5.0,1.0
30,20,0.34,6.8,1.0
31,38,0.10,2.0,1.0
31,59,0.18,3.6,1.0
32,57,0.11,2.2,1.0
32,58,0.15,3.0,1.0
33,58,0.10,2.0,1.0
33,57,0.19,3.8,1.0
33,32,0.22,4.4,1.0
34,35,0.26,5.2,1.0
34,47,0.38,7.6,1.0
34,20,0.56,11.2,1.0
35,7,0.32,6.4,1.0
35,47,0.34,6.8,1.0
36,52,0.10,2.0,1.0
37,39,0.10,2.0,1.0
37,61,0.23,4.6,1.0
39,61,0.26,5.2,1.0
40,2,0.50,10.0,1.0
40,3,0.75,15.0,1.0
41,51,0.18,3.6,1.0
42,53,0.10,2.0,1.0
43,55,0.10,2.0,1.0
43,15,0.14,2.8,1.0
43,48,0.14,2.8,1.0
44,25,0.23,4.6,1.0
44,59,0.29,5.8,1.0
44,31,0.31,6.2,1.0
45,50,0.10,2.0,1.0
45,59,0.12,2.4,1.0
46,57,0.10,2.0,1.0
46,32,0.20,4.0,1.0
47,60,0.28,5.6,1.0
48,17,0.13,2.6,1.0
49,44,0.34,6.8,1.0
49,25,0.45,9.0,1.0
50,59,0.16,3.2,1.0
51,43,0.15,3.0,1.0
51,55,0.16,3.2,1.0
52,61,0.27,5.4,1.0
53,5,0.20,4.0,1.0
54,15,0.12,2.4,1.0
54,43,0.14,2.8,1.0
54,55,0.15,3.0,1.0
55,5,0.16,3.2,1.0
56,48,0.14,2.8,1.0
56,51,0.17,3.4,1.0
57,58,0.14,2.8,1.0
60,20,0.39,7.8,1.0
60,9,0.47,9.4,1.0
