algorithmName,inputSize,budget,averageTimeNs,totalCost,totalValue,dateRun
GreedyBudgetSelector,50,150,104133,150,981,2026-08-20
KnapsackDP,50,150,310700,150,981,2026-08-20
GreedyBudgetSelector,100,300,287233,299,1864,2026-08-20
KnapsackDP,100,300,305600,300,1866,2026-08-20
GreedyBudgetSelector,200,600,1077833,600,3732,2026-08-20
KnapsackDP,200,600,512333,600,3732,2026-08-20
GreedyBudgetSelector,500,1500,836166,1499,9577,2026-08-20
KnapsackDP,500,1500,2161766,1500,9580,2026-08-20
GreedyBudgetSelector,1000,3000,980366,2998,18982,2026-08-20
KnapsackDP,1000,3000,7427500,3000,18988,2026-08-20
