algorithmName,inputSize,timeNs,dateRun
LinearSearch,100,184433,2026-08-15
BinarySearch,100,168666,2026-08-15
SelectionSort,100,499033,2026-08-15
InsertionSort,100,447700,2026-08-15
MergeSort,100,487400,2026-08-15
QuickSort,100,276000,2026-08-15
LinearSearch,500,19066,2026-08-15
BinarySearch,500,3400,2026-08-15
SelectionSort,500,1080366,2026-08-15
InsertionSort,500,804966,2026-08-15
MergeSort,500,95100,2026-08-15
QuickSort,500,144233,2026-08-15
LinearSearch,1000,18566,2026-08-15
BinarySearch,1000,4233,2026-08-15
SelectionSort,1000,1044266,2026-08-15
InsertionSort,1000,677866,2026-08-15
MergeSort,1000,279700,2026-08-15
QuickSort,1000,173333,2026-08-15
LinearSearch,5000,350833,2026-08-15
BinarySearch,5000,12100,2026-08-15
SelectionSort,5000,15694733,2026-08-15
InsertionSort,5000,5700666,2026-08-15
MergeSort,5000,760066,2026-08-15
QuickSort,5000,494400,2026-08-15
LinearSearch,10000,241600,2026-08-15
BinarySearch,10000,5233,2026-08-15
SelectionSort,10000,48345833,2026-08-15
InsertionSort,10000,13217066,2026-08-15
MergeSort,10000,1418166,2026-08-15
QuickSort,10000,862466,2026-08-15
